GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DemoCalculator,huytq.example,Calculator,3,15,0,2,1,3,1,3,1,2
DemoCalculator,huytq.example,Main,21,0,2,0,5,0,3,0,2,0
